Sentences,Positive,Negative
the united states has irs agents making sure that you dont take an improper charity deduction but to fight terrorism it has less than two dozen people focusing on countering violent extremism at home,1,-4
throughout his time in elected office barack obama has taken multiple positions on banning handguns and the d c handgun ban,1,-1
the obama white house is renaming christmas trees holiday trees,1,-1
a paul ryan scott walker or scott walker paul ryan ticket for the white house in would be unconstitutional because both men live in wisconsin,1,-1
one out of every three students currently today is ready for college before they go there,1,-1
todays marijuana is percent to percent more potent than the pot of yesteryear,1,-1
in just one month the democrats have spent more than president bush spent in seven years on the war in iraq the war in afghanistan and hurricane katrina combined,1,-3
texas women make an average of less per year than men doing the very same job,1,-1
i m prolife i m not going to apologize for becoming prolife ronald reagan followed that same course as did henry hyde and george herbert walker bush and i m proud to be prolife,2,-1
not a single segment of the proposed beltline intersects the marta system at marta stations,1,-1
says the patient protection and affordable care act adopted last year contains a series of slush funds set up to stay on the books automatically with little or no oversight,2,-2
wisconsin is below the national average in wage growth and job growth,1,-1
roughly georgians or about percent of the states residents have gone through a background check to legally obtain a georgia weapons carry license,1,-2
under scott walker right now were th in the country in terms of new businesses started,1,-1
says sen luther olsen his recall opponent supported the sale of state owned power plants not to the highest bidder but to the biggest donors with no oversight,2,-2
we have million people out of work they look for jobs they give up and all of a sudden statistically theyre considered employed,1,-1
of the wealthiest nations were the only one that doesnt provide basic health coverage,1,-1
percent of americans the lowest ever are without health care,2,-2
says romney supported a law that could have made most common forms of birth control illegal,2,-2
no other public or private business in america except for the u s postal service must fund percent of employee retirement and retirement health costs in advance,1,-2
the most significant driver of out migration from rhode island is the estate tax,1,-2
congress is on vacation,1,-1
scott walkers school aid cuts were so devastating that students are without chairs and a government survey found kids in a classroom,1,-5
says attorney general eric holder recently revealed this idea to have government have gun owners wear special bracelets that would identify you as a gun owner,2,-2
ed schultz said alan grayson is what its all about,1,-1
aig said they were giving million in retention payments to people who were being terminated,1,-1
says if the iran nuclear deal gets rejected they still get billion,1,-2
new york state has been horribly horribly hurt by nafta,1,-5
for every single illegal immigrant family in this country it costs it costs us in infrastructural costs they pay about in taxes,1,-2
im running the second largest county district attorneys office at staffing levels,1,-1
the nytimes states today that djt believes more countries should acquire nuclear weapons how dishonest are they i never said this,1,-2
the cnbc debate was supposed to be three hours and he renegotiated it down to two hours,1,-1
we bring in enough tax revenue to service our debt pay for medicare and medicaid and social security and then still have about billion or billion left over,2,-2
mcdonalds workers in denmark have a union earn year,1,-1
since weve cut homelessness among veterans by a third,1,-1
the cost saving measures we put into place at columbia hca drove down national health care inflation from to in seven years,2,-2
we have no idea what is contained in electronic cigarette vapor,1,-1
says new estimates from the congressional budget office conclude the final price tag for the health care law will exceed trillion more than double what was initially reported,2,-1
saysruben kihuen only managed in the minority to get one bill passed out of the eight to he introduced during the legislative session,1,-1
this is the true picture of milwaukees renaissance after years of mayor tom barretts leadership,2,-1
says president barack obama revealed in his state of the union address that he now is against earmarks,1,-2
guns have murdered more americans here at home in recent years than have died on the battlefields of iraq and afghanistan,1,-4
there are polls showing right now that the american people for the most part think its a bad idea to provide tax cuts to the wealthy,1,-2
texas state reps dan branch and jim pitts lieutenants to house speaker joe straus are helping democrat ellen cohen against her republican challenger doing events with her in her district,1,-2
says he did not vote for nancy pelosi for speaker of the house,1,-1
unions did not create the eight hour work day and the hour work week henry ford did,1,-1
five percent of americans pay over half the income taxes in this country forty percent of americans pay no income taxes at all,1,-2
as a percentage of our gross domestic product the defense budget remains just percent this figure is low by all historical standards,1,-2
last year we saw the first reduction in the federal prison population in years,1,-2
it takes as much energy to make a solar panel as it likely generates in its entire life,1,-1
says america spends over percent of its gdp on health care costs when our closest competitor nations are spending about,2,-1
connecticuts take on slot machines is cents on the dollar and the states take on table games zero,1,-1
bill lynch told three lies in ten seconds,1,-3
says milwaukee county sheriff david clarke has deputies collecting overtime while sitting passively in chairs watching courthouse security personnel work,2,-1
independent analysts say donald trump would add trillion to the national debt,1,-1
sen obama has been to iraq once,1,-1
unemployment has been on the rise throughout wisconsin as paul ryan stepped up his advocacy of immigration increases,1,-1
says donald trump was one of the people who rooted for the housing crisis he said back in gee i hope it does collapse because then i can go in and buy some and make some money,3,-3
the geneva convention did not apply until to the war on terror,1,-3
the money the clinton foundation took from from foreign governments while hillary clinton was secretary of state is clearly illegal the constitution says you cant take this stuff,1,-2
dodd brought both parties together to pass the family and medical leave act,1,-1
planned parenthood raked in more than million in profits over the past four years,2,-1
mitt romney has homes,1,-1
says romney would add trillions to the deficit while obama would cut the deficit by trillion,1,-2
canadian middle class incomes are now higher than in the united states they are working fewer hours for more pay living longer on average and facing less income inequality,1,-2
the obama administration has used the espionage act to go after whistleblowers who leaked to journalists more than all previous administrations combined,1,-1
in sauk city wisconsin the id office that provides identification for voting is only open on the fifth wednesday of every month a total of four days in,1,-1
nevada has been recently ranked no in unemployment foreclosures violent crime personal bankruptcy and divorce,1,-3
republican candidate for georgia governor dabbled in birther conspiracy theories,1,-2
says new jersey has gained new private sector jobs,1,-1
the obama administration has spent millions of taxpayer dollars for roadside signs to tout the economic stimulus,1,-2
links jailed lobbyist jack abramoff to rep c w bill young,1,-2
wall street megabanks that received bailouts in now get taxpayer funded advantages not available to community banks in ohio,1,-2
says rick scott spent of your tax dollars upgrading the governors mansion,1,-2
prince william county has cut violent crime in half since instituting a crackdown on illegal immigration,1,-3
says the ohio consumers council office employs lawyers and that the funding them is wasteful duplication,1,-2
americans will spend more on taxes in than on food clothing and housing combined,1,-2
i dont think ive ever hired an illegal in my life,1,-2
says obama sent million to china to build a wind farm in texas,1,-1
says the portland childrens levy holds its administrative expenses to less than percent,1,-1
george allen voted to end pell grants for students,1,-1
school children can earn higher grades by studying islam under a new nationwide muslim outreach program announced by president barack obama,1,-1
amajority of the men and women on this stage have previously and publicly embraced amnesty i am the only candidate on this stage who has never supportedamnesty,1,-1
despite raising taxes on the wealthy and hiking the minimum wage minnesota is creating jobs at a record pace unemployment is at a historic low median income is skyrocketing and the state has a billion dollar surplus,1,-2
we went from billion deficit spending in president george w bushs last year to trillion the following year,1,-2
a proposed mine in wisconsin is about two thirds the size of lake winnebago,1,-1
says president barack obama did not come into office with the economy in a free fall,1,-1
says rick scotts proposed budget would lay off teachers,1,-1
a bill supported by gov scott walker makes it so that drunk drivers who kill have an easier time of it,2,-2
there are no tax increases in this debt limit bill period,1,-2
state rep doug mckillips donors deserve a refund,1,-1
sayspresident obama is using executive actions to impose gun control on the nation targeting the top selling rifle in the country with a ban on one of the most used assault rifle bullets,1,-3
without u s senate action texas will have more federal judicial vacancies this year than any other state,1,-1
on changing the rules for filibusters on presidential nominees,1,-1
gonzales losing campaign against me last spring was funded with more than million from supporters and allies of governor bruce rauner,2,-3
over half of the foreign born population in rhode island is white,1,-2
after hearing the frustrations parents and teachers have with the fcat next year we begin improving our testing system,2,-3
every year tobacco kills more americans than did world war ii more than aids cocaine heroin alcohol vehicular accidents homicide and suicide combined,3,-4
we borrow billion every single day much of it from china,1,-1
there are million jobs sitting vacant in part because there arent enough qualified applicants to fill them,1,-1
last election the koch brothers spent three times what the top unions spent combined,1,-1
obama unilaterally announced he was delaying employer mandate through a blog post by a mid level bureaucrat at the department of treasury,2,-1
john mccain says he never supported the privatization of social security even though video shows he did,2,-2
say bernie sanders won nevada after all,1,-1
because of u s sen elect ron johnsons leadership senate republicans adopted a caucus ban on earmarks,1,-1
every dropout costs us for the life of that person,1,-1
says donald trump is going to go out and carpet bomb the middle east,1,-2
most americans want traditional marriage as defined by the defense of marriage act,1,-1
in in wisconsin schools had a subpar score on the department of public instructions recent report cards and are failing the children they serve,1,-3
we are bogged down in a war that john mccain now suggests might go on for another years,1,-3
we spent approximately billion of that money on pork barrel earmark projects maybe if we had done it right maybe some of that money would have gone to inspect those bridges and other bridges across the country,1,-1
dubai is the only country with huge amounts of imported workers that s actually passed legislation to give these immigrant workers a better deal in the middle east,1,-1
nafta supported by the secretary clinton cost us jobs nationwide,2,-1
cuba wants to let the chinese drill in some of the very parts of the gulf that american producers are currently forbidden to touch as close as miles off the florida coast,1,-2
on running for senate if jim webb retires,1,-2
democratic reps cicilline boswell carnahan and critz demanded that congress vote to increase the nations debt limit without making any spending cuts,1,-1
last year i was involved with an effort to to help prosecutors get their first pay raise in more than years,1,-2
ive either balanced every budget or we turned back a surplus,1,-1
one texas city has a law that says that women can only have six dildos,1,-1
the florida legislature has not filed a lawsuit to fight amendments and,1,-3
when you look at the number of crashes before the cameras were installed compared to after theyre virtually the same,1,-1
our median income here in providence is the same as the median income in mississippi,1,-1
u s sen kay bailey hutchison voted to continue roe v wade,1,-2
paul ryans medicare plan provides pretty much the same coverage that members of congress receive,3,-1
we do not have an overcrowding problem as a matter of fact rhode island has one of the lowest incarceration rates in the country,1,-2
says rep jim renacci was trying to leave town for the holidays without extending your payroll tax cut,1,-2
rather than work to secure the border marco rubio supported obamas amnesty plan for illegal immigrants,2,-2
says hillary clinton gave up percent of americas uranium supply to russia,1,-1
fifty years ago the average gm employee could pay for a year of a son or daughters college tuition on just two weeks wages,1,-1
on average college students are taking six years to get a four year degree,1,-1
in the state of rhode island percent of our current physicians are graduates of for profit medical schools,2,-1
medicare will be bankrupt in nine years,1,-3
when it comes to being effective at creating jobs chris christie has not had a record of governing for effectiveness last year new jersey created no net new jobs,1,-1
says hillary clinton called barack obama naive for saying he was would sit down and talk to the iranians during the democratic primary,1,-2
if the supreme court throws out the federal health care law it would be an unprecedented extraordinary step of overturning a law that was passed by a strong majority of a democratically elected congress,3,-2
i opposed this war from the beginning i opposed the war in i opposed the war in i opposed it in and and,1,-3
says the state department spent to get million facebook likes,3,-1
in romneys first budget in massachusetts he cut million from k education,1,-1
we now have our kids go to school about a month less than most other advanced countries,1,-1
says his office has already recovered over billion from wall street for the workers retirees and investors who were harmed,1,-3
i had the longest judicial vacancy in the history of the united states,1,-1
says gov scott walkers proposed reduction in university spending is about the size of the one under democratic gov jim doyle but democrats didnt treat doyles cut as so dire,2,-2
the average unemployed american has been out of work for almost weeks,1,-2
republican challenger bill flores has never once voted in a general election in our district,1,-2
hillary clintons international travels included no serious diplomacy,1,-2
says that when he first ran for office in the late s there were still folks who didnt have phone service soon id helped ensure that everyone in north florida could access a dial tone,1,-1
this years state budget and my spending proposal for fiscal year represent an infusion of more than billion in additional money for k education,1,-1
says the high speed rail project provides short term jobs,1,-1
polls showhillary clinton wins every time with donald trump as her opponent,1,-2
says peter kilmartin has only three years experience in his own law practice,1,-1
during my administration funding for education has increased by over million,1,-1
as a legislator marco rubio flipped on a key vote after making a quick from selling the house to the mother of the bills lobbyist,1,-1
says daniel webster thinks wives should submit to their husbands,1,-1
says he fought for the repeal of a septic tank inspection program after tallahassee pulled a fast one,1,-3
one hundred times as many people worked their way from poverty into the american middle class during his presidency compared to ronald reagans presidency,1,-2
the new hartsfield jackson international terminal was on time and on budget,1,-1
scott walker has given a tax deduction to millionaires who send their kids to exclusive private schools,1,-2
sheldon whitehouse and other senators voted to censor the internet,1,-2
we have a trillion to trillion infrastructure deficit weve got work that needs to get done weve got people that want to go to work,1,-2
jobs that involve the minimum wage are overwhelmingly jobs for young people starting out in the workforce,1,-3
i was among the earliest to criticize the rush to war in iraq and yes even before the war ever started,1,-3
the city of milwaukee uses the building inspection area as a revenue base,1,-1
the cost ofa gas tank fill up has risen sincebarack obama became president,1,-1
college tuition costs have risen by percent under the democrats,1,-1
obama said troops whine about bearing the costs of going to war,1,-3
says donald trumps position isto roll back all of the financial regulations passed after the financial crisis,1,-3
says rep paul ryans budget roadmap doesnt balance the budget until the s and adds an unthinkable trillion to the national debt between now and then,1,-1
says barack obama said if we keep talking about the economy were going to lose,1,-2
wendy davis was just doing a fund raiser in chicago with the international socialists organization,1,-1
we have the highest funding in the k system in the history of the state,1,-1
says ted cruzsaid i was in favor in libya i never discussed that subject,2,-1
with the auto rescue president barack obama saved more than million middle class jobs all across america including more than in wisconsin,2,-1
says barack obama has the worst record of any president when it comes to putting america deeper in debt,1,-3
in june jobless ranks were higher in nearly percent of u s cities,1,-2
we could save all the oil that they re talking about getting off drilling if everybody was just inflating their tires and getting regular tune ups,1,-1
says there was a nato base in turkey being under attack by terrorists,1,-3
in the past three years state legislatures have enacted more of these restrictions on abortion than in the previous years combined,1,-2
epa wants to regulate the family bbq,1,-1
barack hussein obama will force doctors to assist homosexuals in buying surrogate babies,2,-2
he obama has done several things well most of those things are places where he changed his view from where he had during the campaign so for instance he s left our troops in iraq and they re being more successful there he boosted our effort in afghanistan which is the right course to take he did not close guantanamo thank heavens,3,-1
one state even spent a million bucks to put up signs that advertise that they were spending on the federal stimulus projects,1,-1
in senate bill there is this new method of evaluating teachers youre also going to be rated on what the parents think of you and they can send questionnaires and surveys home to parents,1,-1
says that while president barack obama promised to work with your employer to lower your premiums by per family per year his health care law raises premiums in the individual market by per family,2,-1
says newt gingrich is responsible for the gridlocked politics of washington,1,-1
twenty seven out of state pharmaceutical companies have raised more campaign dollars against a drug price control measure than all other state ballot measures have raised to date combined,1,-2
as part of efforts to rein in protesters republicans in wisconsin have bolted windows inside the capitol shut,1,-2
obama says clinton in suggested there was a connection between al qaida and the iraqi government,1,-1
says comprehensive immigration reform will add billion to our economy,1,-1
ronald reagan raised taxes a billion dollars in his first year as governor of california,1,-2
our businesses have created jobs every single month since obamacare became law,1,-1
says bernie sanders voted for regime change with respect to libya,3,-1
if you ask how many times did ronald reagan attend a fundraiser when he ran for re election in the answer is eight times if you say how many times did barack obama attend a fundraiser in the answer is times,1,-1
democrats failed to flip the wisconsin state senate because recall elections were in the deepest red districts in the state,1,-3
the senate version of the economic stimulus package includes millions of dollars to world war ii filipino veterans in the philippines,1,-3
thehousebudget plan proposes the largest discretionary spending cut in history,1,-1
ted cruz is unknown to the vast majority of texans,1,-1
says anthropology is a stem science technology engineering math field,1,-1
when news broke that ferguson year old michael brown was a suspect in a robbery msnbc practically went off the air for a while to have behind closed doors meetings to figure out how to deal with this new revelation,1,-2
people can t go fishing anymore because of obama,1,-1
congressional budget office says percent unemployment till,1,-1
says top clinton advisers were pressing birther movement stories very hard,1,-1
things like having friday classes have been shown to be very effective on college campuses in reducing drinking,2,-1
walmart employees receive roughly in public assistance per year,1,-2
when adjusted for inflation texas per student spending has remained relatively flat over the past years despite that trend texas schools in will receive less per student than they did in,1,-2
as virginias governor allen cut spending and waste with bipartisan support,2,-2
my position hasnt changed on using executive authority to address immigration issues,1,-1
protesters in la crosse blocked an exit and surrounded a state patrol car carrying the governor and were beating on the windows and rocking the vehicle when the car was extricated from the crowd a truck blocked a second exit,1,-2
oregon schools receive millions of dollars per year in federal school lunch assistance and yet they are required to spend that money almost anywhere but oregon,1,-1
almost half a million people are still eligible for daca particularly in the asian american and pacific islander community,1,-1
the pastor mccain calls his spiritual guide rod parsley believes america s founding mission is to destroy islam which he calls a false religion,1,-3
first donald trump said wages are too high and both donald trump and mike pence think we ought to eliminate the federal minimum wage,1,-2
dan gelbers employment by bps law firm could disqualify him from representing florida against bp as attorney general,1,-2
the congressional district for miami dade and broward counties has a staggering drop out rate of almost percent,1,-2
i was never against same sex marriage,2,-1
says protesters at the wisconsin state capitol on the night the state senate passed collective bargaining changes damaged the windshield of his car,1,-2
you can absolutely get a gun if you have several felonies as long as you buy it on the internet or at a gun show,1,-2
bill gunter would drain millions from local public schools and give our tax dollars to private for profit schools run by out of state corporations,2,-2
small businesses that have in gross sales for the business theyre the ones that are looking at massive tax increases,1,-2
michael dukakis created jobs three times faster than mitt romney,1,-1
our children do not spend any time in school learning about our own u s constitution,1,-1
says hillary clintons rejection of efforts to make it easier to vote and harder to cheat not only defies logic but the will of the majority of americans,1,-3
every time weve cut taxes revenues have gone up the economy has grown,1,-2
says state rep diana maldonado of round rock uses craigslist to hire campaign block walkers,2,-2
says that president barack obama said an attack on syria was going to be a pinprick,1,-3
raising taxes on investment income has actually lowered the revenue received from the tax while cutting capital gains tax rates has increased revenue,1,-2
common welfare programs give income of or an hour,1,-1
senate bill makes it harder for nurses to give the patients the quality care they need,2,-1
says that tim pawlenty eliminated health insurance for to people when he was governor of minnesota,1,-1
a public option for health care would end private insurance because the private insurance people will not be able to compete with a government option,2,-1
says donald trump saidas recently as a few weeks ago in phoenix that every undocumented person would be subject to deportation,1,-1
says his deficit plan made some adjustments to simpson bowles and were putting it forward before congress right now a trillion plan,1,-2
says jeb bush appointed a guardian for the fetus of a rape survivor,1,-4
thanks to actions by the milwaukee county board on the budget the amount of county taxes on the average home in the city of milwaukee would be a decrease,2,-2
eighty percent of those who have applied for licenses have no cancer no parkinsons disease or glaucoma they have nothing you would associate with the use of medical marijuana,1,-4
says sen john mccain told dreamers that hell support the dream act then he voted against it,2,-2
the pell bridge is a tourism bridge essentially and not a commuter bridge,1,-1
says a portfolio managed by the texas general land office earned percent last year while the states emergency reserve account experienced a percent gain,1,-2
says colorado food stamp recipients can use atms to get cash to buy marijuana,1,-1
the state of wisconsin thinks you should have to wash your hands at least times to make one peanut butter and jelly sandwich,1,-1
when social security medicare and medicaid were created republicans stood on the sidelines,2,-1
gun violence is by far the leading cause of death for young african american men outstripping the next nine causes of death combined,1,-4
under republican economic policies the typical american family saw their incomes fall by about percent,1,-1
hillary interned with bob treuhaft the head of the california communist party,1,-1
across the board violent crime in jurisdictions that recognize the right to carry is lower than in areas that prevent it,1,-3
using a surcharge on the cigarette tax to help pay for a new downtown sports arena is not feasible under state law,1,-2
says employers are still allowed to pay people with disabilities below the minimum wage,1,-1
kendrick meek was named one of the two most corrupt democrats in congress by citizens for responsibility and ethics in washington,1,-3
under mayor angel taveras providences bond rating was downgraded from a to bbb two steps above junk bond status,1,-2
says using e verify is a fair amount of cost about per person that does not match,1,-1
there is a growing body of evidence that radiation in excess of what the government says are the minimum amounts you should be exposed to are actually good for you and reduce cases of cancer,2,-4
women in the united states are paid about percent of what men earn for the same work,1,-1
wisconsin has created just under jobs since he took office,1,-1
in new jersey gov christie vetoed legislation to extend early voting,1,-1
were the most highly taxed nation in the world,1,-2
says federal regulations adopted in increased the cost of each vehicle for his business by,1,-1
even if you took literally every single ounce of platinum in the world it still wouldnt add up to enough needed to pay down our nations debt,1,-1
a new law requires the usda to approve the harvest and sale of crops from genetically modified seed even if a court has ruled against the crop as being dangerous to public safety or the environment,2,-2
says under oregon law girls from years of age and up are given complete control over whether to be sterilized or not,1,-1
in afghanistan the military leadership has proposed a new medal an award for courageous restraint for not firing back,2,-1
the justice departments fast and furious gun walking program started in the bush administration,1,-4
says one of austin city council member randi shades biggest contributors is the lobbyist for the formula racetrack planned outside austin,1,-1
as unbelievable as it sounds your tax dollars are funding the federal governments zombie apocalypse plan i kid you not,1,-2
rob portman is the one who actually sucked the jobs out of the mahoning valley and sent them to china,1,-2
gov scott walker and the republican controlled state legislature have added over million in new special interest spending,2,-1
when it comes to what little bit of job creation was happening in massachusetts when mitt romney was governor it was happening in the public sector at six times the rate that it was happening in the private sector,1,-1
says former sen george allen voted four times to raise his own pay,1,-1
eighty seven percent of private insurance plans currently include abortion coverage,1,-1
rhode island has the second highest per enrollee medicaid cost of any state in the country which is percent higher than the national average,1,-1
one estimate says there may be three times as much oil in the united states as there is in saudi arabia,1,-1
says he fought obama at the supreme court and won,3,-3
says actor dwayne the rock johnson wore a t shirt stating we stand for the flag we kneel for the fallen,2,-1
there have been some estimates that if you deported everybody who is in texas illegally it would create an economic recession for the state,1,-2
tim kaine supported higher energy costs for families,2,-1
ending federal funding for national public radio would jeopardize jobs,1,-1
says florida refused to allow theinsurance commissioner to negotiate lower rates with companies or refuse rates that are too high under obamacare,1,-2
rick scott has said that he would do away with the department of community affairs,1,-1
oregons umpqua community college where the shooting occurred was a gun free zone,1,-2
as a result of national rifle association and other private sector safety education programs fatal firearms accidents are at the lowest level in years,2,-3
georgias crct set some of the lowest expectations for student proficiency in the nation,1,-2
he s been endorsed by every major newspaper here in the state of texas,1,-1
the house of representatives does not have a prochoice majority,1,-1
romney outsourced call center jobs to india,1,-1
to give a sense of how families are struggling a record four out of every school kids in ohio now qualifies for subsidized lunch,1,-2
says obama puts unelected unaccountable bureaucrats in charge of medicare who are required to cut medicare that will lead to denied care for current seniors,2,-2
president barack obama has now spent three years proving that he kills jobs in energy he kills jobs in manufacturing,1,-1
margaret sanger wanted a black christian leader to be like a judas goat and lead the blacks to genocide remember that and they picked martin luther king as their spokesman,2,-1
virginia state employees pay nothing toward their pensions,1,-1
says barack obama and hillary clinton are responsible for leading america into a deal that will arm iran,1,-1
percent of teachers and principals are not implicated in the atlanta public schools cheating scandal report at all,1,-4
florida is the largest dog racing state in the country,1,-1
says donald trump is for a single payer health care system,2,-1
vows to keep georgias race for governor civil and focused on the positive,3,-1
we cut our deficits by more than half,1,-1
a study from the massachusetts institute of technology harvard and dartmouth concluded that medicaids value to its beneficiaries is significantly lower than the actual cost of the program,2,-1
says sen ted cruz used to be in favor of birthright citizenship but is now against it,2,-2
veterans in texas wont get health care because perry rejected obamacares medicaid expansion,2,-2
u s unemployment among people ages to is percent which is a year high,1,-1
says u s sen ron johnson voted to let oil and gas companies emit unlimited carbon pollution into our air,1,-2
an overwhelming majority of republican and democrat law enforcement leaders have endorsed brad schimel,1,-3
what do rutgers university kean university montclair state university new jersey city university stockton college rowan university and william paterson all have in common they all graduate less than percent of their students within four years,1,-1
opponent holly benson said that just because youre poor doesnt mean youre unhealthy it just means you have a lot more time to go running,1,-2
most of the people who have signed up through the obamacare exchanges already had insurance,1,-1
says a change in law he carried stopped a million tax increase in the dallas school district,1,-2
weve recovered from the recession faster and come farther than almost any other advanced country on earth,1,-2
jeff greene on why hewent cuba,1,-1
says hillary clinton isunder investigation with the fbi right now,1,-1
the average public school teacher in wisconsins making a year in salary and benefits,1,-1
chris christie has not paid one dollar of state money into our pension system and then states that the system is broke,1,-2
states have cumulatively cut over billion from their mental health services between and this is the largest reduction in state mental health services in half a century,1,-1
under republican chris christie new jersey had the highest increase in unemployment in the country last year nearly in jobless the worst unemployment in the region near the bottom in economic growth yet christie protected a tax cut for millionaires but vetoed a minimum wage hike,1,-3
mitt romneys companies were pioneers in outsourcing u s jobs to low wage countries,1,-2
percent of kentuckians dont have any online access,1,-1
we spent twice as much per capita for health care in this country as the next closest nation,2,-1
the obama administration called bashar assad a reformer when he was turning his russian provided guns on his own people,1,-2
currently it costs more than a penny for the u s mint to make a one cent coin and more than a nickel to make the five cent piece,1,-1
on the day the house voted on the climate change bill there was not even a copy of the bill in the well of the house which is standard it wasnt even written,1,-1
says hillary clinton makes more per hour at a speaking gig than the average ceo does in a year,1,-1
says every time the legislature suspended the kicker most recently the corporate kicker in salem spent every penny and failed to stabilize the states revenues,1,-3
cuba has a lower child mortality rate than ours their life expectancy is now greater than ours,3,-1
says baltimore police are trained by mossad and shin bet,1,-1
wisconsin ranks no in economic growth according to the federal reserve bank of philadelphia,1,-1
says he never voted for a tax increase,1,-2
when we lower tax rates we generate more in revenues that happened in with the reagan plan happened in following the bush plan,1,-2
the atlanta areas water planning district is now the national leader in conservation,1,-1
the state of wisconsin pays plumbers engineers and other attorneys much much more than it pays attorneys to represent poor people,1,-2
says peyton manning struggles in cold weather games,1,-2
under president bush in eight years we added trillion to the debt under president obama weve added trillion to the debt in the years hes been in office,1,-1
minnesota has passed and indiana has passed right to work laws making union membership and dues optional,1,-1
gov rick scotts sale of the state planes was not proper,1,-1
the health care law is job killing,2,-2
weve seen a remarkable reduction in the number of americans being executed its down nearly two thirds over the past generation,1,-2
onthe iran nuclear deal,1,-1
q what do these patriotic americans have in common a they are all draft dodgers,1,-1
outside of recall elections theres never been a public official removed from office in wisconsin for anything but malfeasance in office,1,-1
half of all americans have less than in their savings account,1,-1
says theres no language in the u s constitution that prevents someone from running for congress simultaneously in multiple states,1,-1
the united states is th in life expectancy in the world,1,-1
ebola is incredibly contagious very transmissible and easy to catch,1,-4
in betty sutton voted to destroy medicare,1,-3
travis county residents trusted me to take on tom delay and we won,2,-2
the turnout on may th was just percent the lowest turnout in decades,1,-2
eric cantor voted to fully fund obamacare in october,1,-1
on support for ethanol mandates,2,-1
the fiscal cliff agreement was the largest tax increase in history,1,-2
on the mosque near ground zero,1,-1
latin americas economy is almost as big as the economy of china,1,-1
obama has no experience or background at all in national security affairs,2,-1
jim marshall votes liberal in washington and we arent fooled,2,-1
says its not accidental that the villain in the batman movie is named bane,2,-3
white house spokesman robert gibbs lied when he said president obamas birth certificate is posted on the internet,1,-3
a provision in the health care reform bill for end of life counseling for seniors is not entirely voluntary,2,-1
says scott bruun still believes in the same old direction that george bush had before which is to privatize social security,2,-1
when mccain was questioned about hiring lobbyists to his campaign staff his top lobbyist actually had the nerve to say the american people won t care about this,2,-1
i was speaking out on pension reform almost years ago,1,-1
three of our cities are among the top five worst cities in the u s for asthma,1,-3
the labor participation rate is at an all time low,1,-2
mike huckabee supported taxpayer funded scholarships for illegal aliens,2,-2
for every pregnant women that walk into a planned parenthood clinic receive an abortion,1,-1
virginia spends on abstinence programs while losing million in federal funds due to gov bob mcdonnells political agenda,1,-3
nearly in uninsured americanscan get health insurance for what may be the equivalent of your cell phone bill,1,-1
cranstons budget funds percent of the local police and fire pension and other retiree benefit costs,1,-2
says the state budget cut border security and funding to fight criminal gangs,2,-3
says democratic party created the ku klux klan,1,-1
says roy blunt secretly inserts language to benefit tobacco giant philip morris into a national security bill while blunts girlfriend and son are lobbyists for the cigarette company and just days earlier philip morris executives wrote checks to blunt totaling,2,-2
says donald trump mocked someone with a disability,1,-3
we rank below ethiopia im told in terms of our exports per capita well below any of the other developed countries we trade with and well below china and south korea,1,-1
bill heller raises taxes property taxes small business taxes he even wants to tax the internet mr heller said no to balancing the federal budget that puts more debt on our kids,1,-2
the u s spends billion on research and development for energy while spending billion on oil from foreign countries many of whom are our enemies,1,-2
says the state auditor found that percent of the students receiving free and reduced price lunches are ineligible,1,-1
says barack obama began his presidency going on a worldwide apology tour,1,-1
my administration is well represented both racially ethnically and gender wise,1,-1
president obama campaigned on a promise to put reproductive health care at the center of his reform plan,2,-1
president obama campaign surrogate maryland gov martin omalley acknowledged that we are not better off than we were four years ago,1,-1
site selectors who decide where businesses expand or relocate shun closed shop states like wisconsin in favor of right to work states like iowa indiana and michigan,2,-2
said he opposed every budget republican and democrat,1,-1
the house of representatives has never sued a sitting president in all of u s history,1,-1
only five texas counties account for almost percent of the states cattle industry,1,-1
says president barack obama has allowed each year hes been here the prosecutions of gun cases for background check failures to go down theyve declined every year since president bush left office,1,-3
oregons budget has grown by percent in just four years,1,-1
we ve created or saved up to million jobs according to the cbo the congressional budget office through the recovery act,2,-1
says matt bevin has repeatedly failed to pay his taxes,1,-3
california republican gubernatorial hopeful meg whitman contributed to and campaigned for democratic sen barbara boxer,2,-1
says a justice department memo directs that you must openly embrace gay marriage and homosexuality,1,-2
kasichs trade deals cost ohio thousands of jobs jobs to mexico to china,1,-1
says with jon corzine its the first time i think in history where a former senator has been subpoenaed to testify before his former colleagues,1,-1
says donald trump brings in hundreds of foreign workers to replace americans,1,-2
tuition free public universities and colleges are just a pipe dream false they were both free up until the vietnam war,1,-3
candidate bill byrne used campaign funds for work on his personal car,1,-1
pat toomey thinks corporations shouldnt pay any taxes,1,-2
a construction worker whos making or grand a year shouldnt be paying higher tax rates than the guy whos making million a year and thats how its working right now,2,-2
we have seized more currency more drugs more outbound arms in the past year than any year in our countrys history,1,-1
theres never been a direct supreme court case on people who were here illegally whether or not their kids are citizens,3,-1
some million of the estimated million to million people in this country illegally are working,1,-1
traditionally presidential candidates release their tax returns mitt romney still wont,1,-2
says he never supported federal health care individual mandate,2,-2
says the united states is in the worst recovery from an economic recession since world war ii,1,-3
in only percentof germans were nazis,1,-2
the recidivism rate is nearly percent and has been climbing steadily since detainees began being released from guantanamo,1,-1
